Experimento,tA,tM,archivos,tiempoA,tiempoM
Maximo,1,1,['todosIguales.txt'],606.249,0.048618
Maximo,1,2,['todosIguales.txt'],594.886,0.064175
Maximo,1,3,['todosIguales.txt'],615.226,0.125329
Maximo,1,4,['todosIguales.txt'],602.722,0.144683
Maximo,1,5,['todosIguales.txt'],624.53,0.204888
Maximo,1,6,['todosIguales.txt'],621.399,0.222497
Maximo,1,7,['todosIguales.txt'],592.929,0.28275
Maximo,1,8,['todosIguales.txt'],603.326,0.270669
Maximo,1,9,['todosIguales.txt'],623.489,0.256234
Maximo,1,10,['todosIguales.txt'],605.737,0.404578
Maximo,1,11,['todosIguales.txt'],604.902,0.381813
Maximo,1,12,['todosIguales.txt'],609.021,0.426721
Maximo,1,13,['todosIguales.txt'],616.789,0.430526
Maximo,1,14,['todosIguales.txt'],618.632,0.455213
Maximo,1,15,['todosIguales.txt'],606.471,0.587384
Maximo,1,16,['todosIguales.txt'],615.826,0.432577
Maximo,1,17,['todosIguales.txt'],599.655,0.483797
Maximo,1,18,['todosIguales.txt'],596.087,0.617413
Maximo,1,19,['todosIguales.txt'],599.923,0.647949
Maximo,1,20,['todosIguales.txt'],610.957,0.549224
Maximo,1,21,['todosIguales.txt'],605.647,0.572223
Maximo,1,22,['todosIguales.txt'],606.719,0.840738
Maximo,1,23,['todosIguales.txt'],604.182,0.909845
Maximo,1,24,['todosIguales.txt'],593.429,0.737723
Maximo,1,25,['todosIguales.txt'],599.383,0.814458
Maximo,1,26,['todosIguales.txt'],596.536,0.921352
Maximo,1,27,['todosIguales.txt'],594.973,0.848522
Maximo,1,28,['todosIguales.txt'],596.968,0.984677
Maximo,1,29,['todosIguales.txt'],611.069,0.700122
Maximo,1,30,['todosIguales.txt'],630.748,1.07419
Maximo,1,31,['todosIguales.txt'],635.526,0.995597
Maximo,1,32,['todosIguales.txt'],614.3,1.09992
Maximo,1,33,['todosIguales.txt'],616.824,1.03407
Maximo,1,34,['todosIguales.txt'],615.519,0.975478
Maximo,1,35,['todosIguales.txt'],591.18,1.21397
Maximo,1,36,['todosIguales.txt'],590.651,1.36204
Maximo,1,37,['todosIguales.txt'],593.56,1.25118
Maximo,1,38,['todosIguales.txt'],595.694,1.28798
Maximo,1,39,['todosIguales.txt'],590.123,1.17092
Maximo,1,40,['todosIguales.txt'],591.131,1.37191
Maximo,1,41,['todosIguales.txt'],595.039,1.28502
Maximo,1,42,['todosIguales.txt'],593.825,1.36877
Maximo,1,43,['todosIguales.txt'],591.508,1.3944
Maximo,1,44,['todosIguales.txt'],590.097,1.82406
Maximo,1,45,['todosIguales.txt'],588.166,1.77249
Maximo,1,46,['todosIguales.txt'],589.662,1.74955
Maximo,1,47,['todosIguales.txt'],592.549,1.62259
Maximo,1,48,['todosIguales.txt'],595.498,1.83255
Maximo,1,49,['todosIguales.txt'],590.976,1.75068
Maximo,1,50,['todosIguales.txt'],590.711,1.59743
